step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,PAYMENT,1308.05,C0001609,5363.55,4055.5,M0000206,523.18,1805.07,0,0,Michael Wilson
2,TRANSFER,382.37,C0001033,2099.52,2080.4,M0001281,316.04,690.76,0,0,Jennifer Taylor
3,PAYMENT,749.27,C0001293,111.42,0.0,M0000741,29274.15,30008.43,0,0,Karen Gonzalez
4,PAYMENT,2761.88,C0000018,106437.48,103675.6,M0001333,129.26,2835.9,0,0,John Miller
5,PAYMENT,21.08,C0001281,1879.21,1858.13,M0000405,831.95,852.61,0,0,Barbara Rodriguez
6,DEBIT,127.24,C0000824,19025.83,19019.47,M0001543,1936.02,2060.72,0,0,John Moore
7,PAYMENT,46.89,C0001129,12001.16,11954.27,M0000247,1332.06,1378.01,0,0,Joseph Johnson
8,CASH_OUT,16270.09,C0001350,7772.81,6959.31,M0000641,3130.78,19075.47,0,0,Robert Wilson
9,PAYMENT,90.7,C0001366,96923.99,96833.29,M0001530,177634.75,177723.64,0,0,Robert Smith
10,CASH_OUT,293.85,C0000372,107.99,93.3,M0000982,134.93,422.9,0,0,Michael Garcia
11,DEBIT,2227.13,C0001611,1633.43,1522.07,M0000089,93.4,2275.99,0,0,James Anderson
12,PAYMENT,3991.0,C0001644,2062.02,0.0,M0001350,2513.58,6424.76,0,0,Charles Hernandez
13,TRANSFER,3560.33,C0000715,2246.12,2068.1,M0000771,284.01,3773.13,0,0,William Anderson
14,PAYMENT,405.55,C0000776,888.33,482.78,M0000037,219.99,617.43,0,0,Elizabeth Garcia
15,TRANSFER,268.67,C0000268,346.69,333.26,M0000073,3374.8,3638.1,0,0,William Johnson
16,PAYMENT,1563.42,C0000932,4526.94,2963.52,M0001163,88.92,1621.07,0,0,Barbara Anderson
17,DEBIT,68.72,C0000534,2932.39,2928.95,M0000685,15663.4,15730.75,0,0,Sarah Miller
18,CASH_OUT,254.02,C0001536,4894.49,4881.79,M0001461,592.27,841.21,0,0,Elizabeth Williams
19,DEBIT,724.78,C0001072,29536.47,29500.23,M0000799,29289.41,29999.69,0,0,Mary Brown
20,TRANSFER,25226.71,C0000091,2180.5,919.16,M0001434,394.7,25116.88,0,0,Thomas Rodriguez
21,PAYMENT,5560.92,C0001186,2117.67,0.0,M0000975,293.14,5742.84,0,0,Jennifer Thomas
22,CASH_OUT,1473.05,C0001440,852.39,778.74,M0000485,1514.39,2957.98,0,0,Jessica Davis
23,PAYMENT,6479.69,C0000031,146.93,0.0,M0000871,23.51,6373.61,0,0,Michael Williams
24,CASH_OUT,8790.99,C0001382,2351.02,1911.47,M0000982,118.25,8733.42,0,0,David Moore
