step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,TRANSFER,199.28,C0001664,105638.8,105628.84,M0000708,489308.0,489503.29,0,0,Jennifer Thomas
2,TRANSFER,462.67,C0000182,6870.09,6846.96,M0000072,3105.58,3559.0,0,0,Michael Hernandez
3,CASH_OUT,508.46,C0001279,5513.02,5487.6,M0000664,1037.05,1535.34,0,0,John Rodriguez
4,PAYMENT,2270.74,C0001519,333.91,0.0,M0001103,1214.1,3439.43,0,0,John Wilson
5,CASH_OUT,825.74,C0001337,20877.98,20836.69,M0001550,628.83,1438.06,0,0,William Garcia
6,CASH_OUT,2393.84,C0000285,308.04,188.35,M0000443,672.95,3018.91,0,0,Sarah Jackson
7,DEBIT,2701.16,C0001124,1246.82,1111.76,M0000751,391.75,3038.89,0,0,Richard Gonzalez
8,DEBIT,188.78,C0000781,125.08,115.64,M0000787,563.35,748.35,0,0,Patricia Martin
9,CASH_OUT,871.69,C0000417,5651.44,5607.86,M0001220,8360.5,9214.76,0,0,Elizabeth Miller
10,TRANSFER,1981.36,C0001280,3061.05,2961.98,M0001013,14144.24,16085.97,0,0,Patricia Taylor
11,DEBIT,250.32,C0001508,2547.39,2534.87,M0001295,9.33,254.64,0,0,Barbara Martinez
12,DEBIT,325.6,C0001389,36204.95,36188.67,M0000581,1787.22,2106.31,0,0,Robert Davis
13,TRANSFER,2523.96,C0000150,1180.89,1054.69,M0000032,1693.98,4167.46,0,0,Susan Martin
14,CASH_OUT,125.64,C0001636,9356.99,9350.71,M0001416,136.06,259.19,0,0,Michael Thomas
15,TRANSFER,394.59,C0001230,141.07,121.34,M0001331,354.53,741.23,0,0,William Rodriguez
16,DEBIT,548.93,C0000247,363.74,336.29,M0000244,43.21,581.16,0,0,Patricia Brown
17,CASH_OUT,11533.76,C0001620,210.92,0.0,M0000644,109.64,11412.72,0,0,William Jackson
18,PAYMENT,6279.37,C0001229,5503.79,0.0,M0000233,488.51,6642.29,0,0,Charles Rodriguez
19,PAYMENT,106.45,C0001605,2722.64,2616.19,M0000657,14017.8,14122.12,0,0,Elizabeth Jackson
20,CASH_OUT,10.69,C0001027,172.06,171.53,M0001043,51.28,61.76,0,0,Richard Garcia
21,CASH_OUT,979.31,C0001024,220.08,171.11,M0001475,202.73,1162.45,0,0,Jessica Brown
22,DEBIT,15983.17,C0001010,543.45,0.0,M0000740,1006.15,16669.66,0,0,Thomas Jones
23,DEBIT,168.89,C0000897,1215.91,1207.47,M0000288,386.92,552.43,0,0,Sarah Smith
24,TRANSFER,885.02,C0000377,4694.83,4650.58,M0000197,767.86,1635.18,0,0,Karen Thomas
25,TRANSFER,9172.89,C0000746,1766.45,1307.81,M0000521,369.0,9358.43,0,0,Robert Williams
26,TRANSFER,365.48,C0001651,541.22,522.95,M0001037,553.3,911.47,0,0,Susan Moore
27,DEBIT,1557.92,C0001297,34898.82,34820.92,M0001352,276.22,1802.98,0,0,Charles Gonzalez
28,PAYMENT,2966.71,C0001417,12812.21,9845.5,M0001610,2750.85,5658.23,0,0,David Martinez
29,TRANSFER,81453.08,C0000507,2099.9,0.0,M0000174,2561.2,82385.22,0,0,David Johnson
30,PAYMENT,4675.49,C0001120,7516.49,2841.0,M0000291,112.58,4694.56,0,0,Mary Martinez
31,CASH_OUT,1142.64,C0001170,2268.82,2211.69,M0000599,581.72,1701.51,0,0,Charles Johnson
32,DEBIT,214.55,C0001245,45256.6,45245.87,M0000453,5418.93,5629.19,0,0,William Hernandez
33,PAYMENT,16746.37,C0001260,10051.25,0.0,M0000194,3197.07,19608.51,0,0,Mary Lopez
34,TRANSFER,115753.69,C0000797,1589.89,0.0,M0001309,24124.91,137563.53,0,0,Karen Thomas
35,CASH_OUT,220.71,C0000923,371.04,360.0,M0001100,1229.72,1446.02,0,0,Linda Smith
36,DEBIT,12875.16,C0000325,55087.98,54444.22,M0000420,839.89,13457.55,0,0,Michael Rodriguez
37,PAYMENT,72.91,C0001146,1174.84,1101.93,M0001466,14496.39,14567.84,0,0,Robert Thomas
38,PAYMENT,712.85,C0000822,157436.51,156723.66,M0001577,249.55,948.14,0,0,Jessica Anderson
39,CASH_OUT,1429.61,C0000632,2601.4,2529.92,M0000157,17.67,1418.69,0,0,Linda Jackson
40,TRANSFER,10516.06,C0000189,999.74,473.94,M0001555,937.45,11243.19,0,0,Sarah Taylor
41,PAYMENT,2031.03,C0001473,936.04,0.0,M0000076,137.01,2127.42,0,0,Sarah Wilson
42,TRANSFER,1173.42,C0000373,16186.69,16128.02,M0000725,2549.56,3699.51,0,0,Susan Davis
43,PAYMENT,49281.52,C0000308,57.28,0.0,M0001418,4373.21,52669.1,0,0,Karen Davis
44,DEBIT,2714.64,C0000339,4798.65,4662.92,M0001254,18180.6,20840.95,0,0,Barbara Thomas
45,TRANSFER,11425.79,C0001141,11200.76,10629.47,M0000765,60.43,11257.7,0,0,Linda Taylor
46,PAYMENT,2761.06,C0000237,3246.39,485.33,M0000216,8.4,2714.24,0,0,Michael Hernandez
47,TRANSFER,3581.38,C0000658,64.49,0.0,M0000407,233.27,3743.02,0,0,Richard Wilson
48,CASH_OUT,48635.41,C0000793,59062.09,56630.32,M0000756,237.14,47899.84,0,0,Jennifer Brown
49,CASH_OUT,1991.68,C0001373,790.67,691.09,M0001169,230050.97,232002.82,0,0,Linda Moore
50,TRANSFER,454.41,C0000560,3318.26,3295.54,M0001023,428.72,874.04,0,0,Richard Davis
51,TRANSFER,82.31,C0000651,12392.89,12388.77,M0001646,1488.03,1568.69,0,0,David Martinez
52,TRANSFER,470.96,C0000116,5997.79,5974.24,M0000137,5978.24,6439.78,0,0,James Gonzalez
53,DEBIT,44.7,C0001445,2137.9,2135.67,M0000663,4737.9,4781.71,0,0,Mary Rodriguez
54,TRANSFER,1071.6,C0000028,3630.31,3576.73,M0000211,4285.9,5336.07,0,0,Jennifer Gonzalez
55,TRANSFER,81.9,C0000292,48665.54,48661.44,M0000487,24460.88,24541.14,0,0,William Wilson
56,TRANSFER,351.06,C0001135,8932.01,8914.46,M0000926,9035.53,9379.57,0,0,William Rodriguez
57,PAYMENT,65.51,C0001235,256.62,191.11,M0001421,1680.14,1744.34,0,0,Patricia Martin
58,DEBIT,34.25,C0000504,38364.54,38362.83,M0000015,442.38,475.94,0,0,Elizabeth Miller
59,TRANSFER,103.0,C0000979,3965.5,3960.35,M0001262,3471.16,3572.1,0,0,Jessica Davis
60,TRANSFER,1200.71,C0000327,168.77,108.73,M0000849,3152.36,4329.06,0,0,Richard Jackson
61,CASH_OUT,366.5,C0001640,2652.65,2634.32,M0000895,2188.84,2548.01,0,0,Patricia Davis
62,PAYMENT,7405.52,C0001613,38.86,0.0,M0001315,2245.46,9502.87,0,0,Patricia Williams
63,DEBIT,18512.5,C0000306,724.39,0.0,M0000784,3792.01,21934.26,0,0,Michael Rodriguez
64,CASH_OUT,1442.27,C0000460,2449.29,2377.18,M0000691,200.5,1613.92,0,0,James Lopez
65,CASH_OUT,63.68,C0001265,4106.8,4103.62,M0000407,401.05,463.46,0,0,Thomas Wilson
66,CASH_OUT,6245.44,C0001433,1577.97,1265.7,M0001209,308.91,6429.44,0,0,William Lopez
67,DEBIT,537.05,C0000566,2051.6,2024.75,M0001632,896.03,1422.34,0,0,Patricia Wilson
68,DEBIT,1670.71,C0000008,41396.82,41313.28,M0000408,717.46,2354.76,0,0,Barbara Garcia
69,CASH_OUT,2127.52,C0000061,346.94,240.56,M0000365,56645.11,58730.08,0,0,John Rodriguez
70,DEBIT,727.18,C0000959,807.6,771.24,M0001284,29511.12,30223.76,0,0,Robert Jones
71,TRANSFER,2229.46,C0000748,37749.99,37638.52,M0000634,68.71,2253.58,0,0,Michael Garcia
72,TRANSFER,3465.43,C0000507,685.02,511.75,M0001384,434.89,3831.01,0,0,David Johnson
73,TRANSFER,26863.83,C0001164,819.54,0.0,M0001098,109.47,26436.02,0,0,Jessica Johnson
74,CASH_OUT,3855.09,C0000553,18466.58,18273.83,M0000262,9007.19,12785.18,0,0,Thomas Anderson
75,CASH_OUT,29501.56,C0000968,2306.88,831.8,M0001045,477.39,29388.92,0,0,Joseph Miller
76,DEBIT,31274.3,C0000594,14996.12,13432.4,M0000906,2153.85,32802.66,0,0,James Johnson
77,TRANSFER,1582.76,C0000896,27611.55,27532.41,M0001324,2113.84,3664.94,0,0,Charles Hernandez
78,DEBIT,1575.69,C0000427,56390.25,56311.47,M0000889,3629.93,5174.11,0,0,John Anderson
79,TRANSFER,80.62,C0001269,2084.08,2080.05,M0001454,3684.16,3763.17,0,0,Michael Williams
80,PAYMENT,1221.4,C0001034,524.82,0.0,M0000980,4714.5,5911.47,0,0,Elizabeth Gonzalez
81,TRANSFER,74.45,C0001264,97.59,93.87,M0000412,317.7,390.66,0,0,Jessica Taylor
82,DEBIT,606.76,C0001047,1038.81,1008.47,M0000845,7591.25,8185.87,0,0,Jennifer Johnson
83,CASH_OUT,2063.21,C0000182,20748.08,20644.92,M0001457,15771.68,17793.63,0,0,Michael Hernandez
84,PAYMENT,1300.09,C0000412,1195.38,0.0,M0000554,42406.03,43680.12,0,0,Linda Thomas
85,TRANSFER,415.75,C0001267,366.7,345.91,M0000922,4363.52,4770.96,0,0,James Moore
86,DEBIT,191.11,C0000045,154.67,145.11,M0000117,88358.29,88545.58,0,0,William Jones
87,CASH_OUT,32.13,C0000623,2583.94,2582.33,M0000839,772.23,803.72,0,0,Robert Taylor
88,DEBIT,340.13,C0001079,22002.94,21985.93,M0001371,5694.88,6028.21,0,0,Karen Anderson
89,PAYMENT,1339.05,C0000053,18.89,0.0,M0001619,17283.57,18595.84,0,0,Joseph Davis
90,TRANSFER,147541.43,C0001199,1160.29,0.0,M0000516,922.29,145512.89,0,0,Elizabeth Brown
91,PAYMENT,7239.46,C0000712,1840.45,0.0,M0000353,1493.56,8588.23,0,0,Robert Taylor
92,DEBIT,190.53,C0001606,196207.52,196197.99,M0000927,120.72,307.44,0,0,Charles Taylor
93,DEBIT,100.11,C0000391,7680.42,7675.41,M0000679,11236.85,11334.96,0,0,Mary Brown
94,PAYMENT,3678.08,C0001253,1070.5,0.0,M0000887,1709.59,5314.11,0,0,James Jackson
95,TRANSFER,4268.54,C0001382,632.31,418.88,M0001644,189.35,4372.52,0,0,David Moore
96,TRANSFER,8503.48,C0000320,506.69,81.52,M0001243,1538.27,9871.68,0,0,Linda Johnson
97,PAYMENT,2750.24,C0000742,226647.35,223897.11,M0001431,206.6,2901.84,0,0,Charles Johnson
98,PAYMENT,52572.43,C0000886,42.12,0.0,M0000763,902.04,52423.02,0,0,Barbara Jackson
99,TRANSFER,1300.64,C0000753,5529.28,5464.25,M0000353,196.31,1470.94,0,0,James Rodriguez
100,CASH_OUT,290.17,C0000365,873.7,859.19,M0001046,1109.03,1393.4,0,0,Charles Jones
101,DEBIT,594.84,C0001512,34067.78,34038.04,M0000591,32.02,614.96,0,0,Jennifer Martinez
102,DEBIT,7446.28,C0000985,506653.2,506280.89,M0000058,680.2,7977.55,0,0,Sarah Wilson
103,DEBIT,322.32,C0001166,856.13,840.01,M0001253,1045.3,1361.17,0,0,Richard Garcia
104,DEBIT,819.82,C0001604,517.07,476.08,M0000359,3430.39,4233.81,0,0,Susan Moore
105,TRANSFER,420.47,C0001602,11222.41,11201.39,M0001471,12242.04,12654.1,0,0,Jennifer Davis
106,CASH_OUT,255.28,C0000986,2403.38,2390.62,M0001374,588.32,838.49,0,0,Sarah Moore
107,CASH_OUT,10620.41,C0001332,8365.21,7834.19,M0000803,62574.54,72982.54,0,0,Karen Miller
108,CASH_OUT,714.93,C0001268,3599.95,3564.2,M0001263,702.06,1402.69,0,0,Jennifer Garcia
109,CASH_OUT,14.96,C0001482,82729.06,82728.31,M0000123,337.86,352.52,0,0,John Martinez
110,PAYMENT,17.53,C0000389,2801.54,2784.01,M0000617,13165.43,13182.61,0,0,James Rodriguez
111,CASH_OUT,7424.71,C0000118,7956.05,7584.81,M0000681,1897.12,9173.34,0,0,Jennifer Jones
112,TRANSFER,35607.36,C0000013,10707.83,8927.46,M0000099,6015.64,40910.85,0,0,Sarah Martin
113,TRANSFER,94.76,C0000678,3.74,0.0,M0001449,1.45,94.31,0,0,Robert Thomas
114,PAYMENT,115.45,C0001502,379.07,263.62,M0001339,40374.07,40487.21,0,0,Linda Williams
115,CASH_OUT,371.9,C0001630,54349.22,54330.62,M0000387,526.51,890.97,0,0,William Taylor
116,TRANSFER,4815.44,C0000713,77.07,0.0,M0000463,4933.2,9652.33,0,0,David Moore
117,TRANSFER,11851.59,C0000219,573.94,0.0,M0000190,677.68,12292.24,0,0,Michael Jackson
118,PAYMENT,495.43,C0000127,13330.56,12835.13,M0000897,209.31,694.83,0,0,Patricia Moore
119,CASH_OUT,200.15,C0001588,67377.62,67367.61,M0001017,1671.72,1867.87,0,0,Robert Martinez
120,CASH_OUT,14.12,C0001452,33267.22,33266.51,M0001561,27128.53,27142.37,0,0,Joseph Garcia
121,CASH_OUT,829.2,C0000992,7766.38,7724.92,M0001105,96.52,909.14,0,0,David Jackson
