step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,DEBIT,1690.25,C0001159,37515.82,37431.31,M0001356,3906.49,5562.94,0,0,Joseph Thomas
2,PAYMENT,491.39,C0000546,2236.67,1745.28,M0001000,137.56,619.12,0,0,John Taylor
3,TRANSFER,17568.07,C0000162,22556.04,21677.64,M0000892,992.95,18209.66,0,0,Patricia Jackson
4,DEBIT,1196.76,C0001079,49877.61,49817.77,M0000766,443.18,1616.0,0,0,Karen Anderson
5,TRANSFER,50.07,C0000200,93128.62,93126.12,M0000647,1858.41,1907.48,0,0,Richard Thomas
6,TRANSFER,3795.64,C0001517,76177.82,75988.04,M0001525,14529.23,18248.96,0,0,William Martin
7,DEBIT,2179.42,C0001191,3629.69,3520.72,M0001565,5978.76,8114.59,0,0,Joseph Martin
8,CASH_OUT,1447.04,C0000036,475.29,402.94,M0000591,673.0,2091.1,0,0,Robert Garcia
9,TRANSFER,218.08,C0001022,1477.51,1466.61,M0000989,3021.56,3235.28,0,0,Thomas Rodriguez
10,CASH_OUT,25984.07,C0000129,35773.72,34474.52,M0000419,59.08,25523.47,0,0,David Rodriguez
11,TRANSFER,17.66,C0000433,10723.94,10723.06,M0000572,607.81,625.12,0,0,Linda Thomas
12,PAYMENT,62.05,C0000719,4487.91,4425.86,M0000789,5060.71,5121.52,0,0,Joseph Taylor
13,TRANSFER,3437.96,C0000484,3724.73,3552.83,M0000360,14515.5,17884.7,0,0,Joseph Rodriguez
14,PAYMENT,795.6,C0001140,3768.54,2972.94,M0001553,1105.59,1885.28,0,0,David Moore
15,TRANSFER,36.31,C0001059,2378.74,2376.92,M0000552,2443.64,2479.22,0,0,James Brown
16,PAYMENT,2461.59,C0000164,476.16,0.0,M0001148,214.79,2627.15,0,0,Charles Wilson
17,PAYMENT,44.5,C0000439,4060.55,4016.05,M0000412,88.26,131.87,0,0,Thomas Jones
18,CASH_OUT,11305.91,C0000490,6363.0,5797.7,M0001021,55.3,11135.09,0,0,Joseph Moore
19,DEBIT,672.11,C0000958,1091.32,1057.71,M0000911,3568.04,4226.71,0,0,Thomas Rodriguez
