step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,DEBIT,1421.52,C0001066,82.19,11.11,M0000099,1893.76,3286.85,0,0,Susan Wilson
2,TRANSFER,6665.66,C0001551,348.82,15.54,M0000601,365.28,6897.63,0,0,Charles Jackson
3,DEBIT,8197.69,C0000520,234.99,0.0,M0001185,79.9,8113.64,0,0,William Thomas
4,CASH_OUT,2817.99,C0000382,362.52,221.62,M0000329,367.48,3129.11,0,0,Barbara Gonzalez
5,CASH_OUT,571.11,C0001073,185.95,157.39,M0000750,191.16,750.85,0,0,Mary Johnson
6,CASH_OUT,648.52,C0000477,20980.22,20947.79,M0000325,4081.79,4717.34,0,0,Linda Anderson
7,CASH_OUT,524.4,C0000968,59022.46,58996.24,M0001365,325374.81,325888.72,0,0,Joseph Miller
8,PAYMENT,21109.58,C0001525,970.63,0.0,M0000854,1301.94,21989.33,0,0,Sarah Wilson
9,PAYMENT,14746.5,C0001304,886.36,0.0,M0000359,108.96,14560.53,0,0,David Lopez
10,CASH_OUT,383.35,C0000553,409.44,390.27,M0000277,365.09,740.77,0,0,Thomas Anderson
11,TRANSFER,374.87,C0001177,15485.98,15467.24,M0000806,98174.85,98542.22,0,0,Linda Wilson
12,TRANSFER,2721.55,C0000419,14669.27,14533.19,M0000901,193.01,2860.13,0,0,Linda Wilson
13,PAYMENT,562.52,C0000466,814.99,252.47,M0000263,43.18,594.45,0,0,Patricia Anderson
14,DEBIT,236.47,C0001489,70905.8,70893.98,M0000904,488.6,720.34,0,0,John Martin
15,TRANSFER,7430.42,C0001272,29796.42,29424.9,M0001533,439.63,7721.44,0,0,James Jackson
16,PAYMENT,1834.28,C0001521,12.63,0.0,M0000474,1964.08,3761.67,0,0,Jennifer Martinez
17,CASH_OUT,89.49,C0000468,4860.25,4855.78,M0000178,816.15,903.85,0,0,Robert Moore
18,CASH_OUT,48433.01,C0001138,864.23,0.0,M0001646,176.44,47640.79,0,0,Charles Jones
19,PAYMENT,2617.62,C0000670,1624.6,0.0,M0000241,14.44,2579.71,0,0,Joseph Taylor
20,PAYMENT,2069.3,C0001086,38223.66,36154.36,M0000649,284.76,2312.67,0,0,Jennifer Smith
21,DEBIT,2749.94,C0000265,244.75,107.25,M0001559,1370.5,4065.44,0,0,John Taylor
22,PAYMENT,39319.68,C0000938,2409.09,0.0,M0000722,546.46,39079.75,0,0,Karen Brown
23,CASH_OUT,217353.01,C0000913,629.55,0.0,M0000257,1308.35,214314.3,0,0,David Miller
24,TRANSFER,70.25,C0000684,3099.41,3095.9,M0001323,230.66,299.5,0,0,Patricia Brown
25,PAYMENT,1921.09,C0000117,27988.27,26067.18,M0001222,2006.32,3888.99,0,0,Charles Hernandez
26,DEBIT,32976.75,C0001211,552.69,0.0,M0000025,2935.73,35252.94,0,0,Mary Hernandez
27,DEBIT,2963.82,C0001317,12221.0,12072.81,M0001284,240.64,3145.18,0,0,Barbara Hernandez
28,TRANSFER,24446.88,C0000653,1288.42,66.08,M0000254,106.73,24064.67,0,0,Charles Thomas
29,CASH_OUT,3240.07,C0000135,151.07,0.0,M0001569,3427.3,6602.57,0,0,John Jackson
30,DEBIT,280.72,C0001536,3003.63,2989.59,M0001283,417.8,692.91,0,0,Elizabeth Williams
31,PAYMENT,453.17,C0000988,2630.43,2177.26,M0000264,113.15,557.26,0,0,Mary Moore
32,CASH_OUT,5335.85,C0001658,3162.72,2895.93,M0000492,180.32,5409.45,0,0,Thomas Jones
33,CASH_OUT,808.62,C0000093,90809.81,90769.38,M0000824,999.31,1791.76,0,0,Mary Hernandez
34,CASH_OUT,5151.18,C0001554,736.8,479.24,M0001052,10664.11,15712.27,0,0,Mary Miller
35,PAYMENT,534.78,C0000588,464.12,0.0,M0000165,361.21,885.29,0,0,Jessica Garcia
36,PAYMENT,8944.23,C0000595,711.01,0.0,M0000878,2960.43,11725.78,0,0,Richard Davis
37,TRANSFER,1.84,C0000126,47654.17,47654.08,M0001140,784.57,786.37,0,0,Charles Anderson
38,TRANSFER,1642.09,C0000936,875.83,793.73,M0000071,1328.5,2937.75,0,0,Barbara Martin
39,CASH_OUT,218.97,C0000868,678.73,667.78,M0000505,9413.59,9628.18,0,0,Barbara Hernandez
40,PAYMENT,27.76,C0000629,80.67,52.91,M0001242,1818.27,1845.47,0,0,Jennifer Miller
41,CASH_OUT,65.33,C0000185,11524.66,11521.39,M0001351,691.37,755.39,0,0,Patricia Jackson
42,PAYMENT,353.44,C0000828,46019.46,45666.02,M0001099,2778.03,3124.4,0,0,Charles Moore
43,TRANSFER,7868.82,C0000793,501.35,107.91,M0001121,465.5,8176.94,0,0,Jennifer Brown
44,CASH_OUT,1327.43,C0001429,1232.72,1166.35,M0000370,74.17,1375.05,0,0,James Jackson
45,CASH_OUT,49.25,C0000234,103499.18,103496.72,M0000841,6.49,54.76,0,0,Charles Thomas
46,TRANSFER,2711.31,C0000221,991.51,855.94,M0000763,1048.62,3705.7,0,0,Richard Moore
47,TRANSFER,15867.75,C0001489,61.88,0.0,M0001661,39.47,15589.86,0,0,John Martin
48,PAYMENT,357.0,C0000238,16087.21,15730.21,M0000591,15363.13,15712.99,0,0,David Rodriguez
49,TRANSFER,244.57,C0000987,12741.29,12729.06,M0000343,441.94,681.62,0,0,Susan Miller
50,TRANSFER,20.07,C0000933,7970.27,7969.27,M0000881,45.67,65.34,0,0,Richard Lopez
51,CASH_OUT,9199.64,C0000309,608.58,148.6,M0000419,24219.15,33234.8,0,0,Elizabeth Hernandez
52,TRANSFER,9.89,C0001638,4539.06,4538.57,M0000642,2534.05,2543.74,0,0,Linda Williams
53,PAYMENT,740.62,C0000283,1782.11,1041.49,M0001499,2625.2,3351.01,0,0,Mary Lopez
54,TRANSFER,2193.77,C0000823,942.47,832.78,M0000753,993.84,3143.73,0,0,Patricia Moore
55,TRANSFER,2917.43,C0001309,64402.46,64256.59,M0001325,251.36,3110.44,0,0,James Anderson
56,CASH_OUT,16847.04,C0001433,270.22,0.0,M0000227,1168.85,17678.95,0,0,William Lopez
57,TRANSFER,1738.11,C0000573,143.51,56.6,M0001588,29814.33,31517.68,0,0,William Jackson
58,TRANSFER,46.72,C0001539,2396.5,2394.16,M0001420,139.93,185.72,0,0,Elizabeth Miller
59,PAYMENT,123.54,C0000867,335.79,212.25,M0000619,725.26,846.33,0,0,Thomas Davis
60,DEBIT,30.56,C0001525,32771.29,32769.76,M0001614,1245.95,1275.9,0,0,Sarah Wilson
61,CASH_OUT,368.32,C0000183,1798.23,1779.81,M0000716,208.56,569.51,0,0,Charles Rodriguez
62,TRANSFER,1110.51,C0000664,4036.34,3980.81,M0000698,887.94,1976.24,0,0,Susan Lopez
63,CASH_OUT,4748.52,C0000311,3894.42,3656.99,M0000204,2793.42,7446.97,0,0,Jennifer Martinez
64,TRANSFER,507.12,C0000268,2260.07,2234.71,M0000653,727.11,1224.09,0,0,William Johnson
65,TRANSFER,1039.82,C0001348,3617.5,3565.51,M0001443,42499.46,43518.48,0,0,Mary Miller
66,PAYMENT,1688.07,C0001289,166.28,0.0,M0001025,861.1,2515.41,0,0,Robert Gonzalez
67,PAYMENT,338.29,C0000708,10111.07,9772.78,M0000081,399.13,730.65,0,0,Michael Johnson
68,DEBIT,5911.75,C0001133,42570.12,42274.53,M0001072,490.87,6284.38,0,0,Patricia Lopez
69,DEBIT,402.84,C0000808,151.19,131.05,M0001625,637.68,1032.46,0,0,Linda Martin
70,DEBIT,1714.15,C0000072,24944.01,24858.3,M0000276,2749.15,4429.02,0,0,Mary Gonzalez
71,CASH_OUT,11499.13,C0001533,208.7,0.0,M0000937,29010.29,40279.44,0,0,Barbara Johnson
72,DEBIT,8506.96,C0000676,2174.1,1748.75,M0001329,1634.24,9971.06,0,0,Jennifer Lopez
73,PAYMENT,32.53,C0000197,19886.2,19853.67,M0000624,1333.72,1365.6,0,0,Barbara Taylor
74,DEBIT,19390.75,C0001522,18704.82,17735.28,M0000939,1751.25,20754.19,0,0,Charles Lopez
75,PAYMENT,620.36,C0000498,779.3,158.94,M0000094,1631.44,2239.39,0,0,Mary Hernandez
76,PAYMENT,2.53,C0001167,4033.39,4030.86,M0001017,4244.49,4246.97,0,0,Jessica Moore
77,TRANSFER,1371.84,C0000942,34073.65,34005.06,M0000977,1004.4,2348.8,0,0,Elizabeth Smith
78,PAYMENT,3694.06,C0000656,2604.12,0.0,M0001114,2663.41,6283.59,0,0,Mary Thomas
79,PAYMENT,3511.59,C0000979,1912.69,0.0,M0000709,845.19,4286.55,0,0,Jessica Davis
80,PAYMENT,74.62,C0001333,3027.8,2953.18,M0000708,1085.47,1158.6,0,0,James Jackson
81,DEBIT,581815.22,C0001268,488.39,0.0,M0000136,1124.11,571303.03,0,0,Jennifer Garcia
82,TRANSFER,1524.17,C0000018,113.07,36.86,M0000879,653.31,2147.0,0,0,John Miller
83,TRANSFER,3379.28,C0000961,214.01,45.05,M0000123,6797.67,10109.36,0,0,Sarah Miller
84,CASH_OUT,5955.52,C0001044,4320.99,4023.21,M0000261,1095.92,6932.33,0,0,Linda Hernandez
85,TRANSFER,22.84,C0001375,6878.34,6877.2,M0000458,4806.27,4828.65,0,0,Thomas Moore
86,DEBIT,11783.78,C0000432,6005.11,5415.92,M0001020,751.72,12299.82,0,0,Joseph Jackson
87,DEBIT,44.96,C0001358,14003.13,14000.88,M0000810,9586.5,9630.56,0,0,Patricia Hernandez
88,DEBIT,1713.72,C0000071,1248.05,1162.36,M0001031,1019.54,2698.99,0,0,Joseph Taylor
89,PAYMENT,25.3,C0001380,3994.08,3968.78,M0001127,40255.24,40280.03,0,0,Mary Taylor
90,CASH_OUT,2325.1,C0000272,289.95,173.69,M0000050,2730.48,5009.08,0,0,Elizabeth Jackson
91,TRANSFER,1269.52,C0001038,13886.63,13823.15,M0001289,313.19,1557.32,0,0,Patricia Jackson
92,DEBIT,17780.23,C0000399,8299.31,7410.3,M0001003,3362.44,20787.07,0,0,Jessica Anderson
93,TRANSFER,10769.63,C0000613,983.38,444.9,M0000353,219.9,10774.14,0,0,Linda Garcia
94,CASH_OUT,1277.56,C0001150,159.53,95.65,M0001115,96.38,1348.39,0,0,Patricia Taylor
95,CASH_OUT,301.64,C0001091,1678.08,1663.0,M0000064,54.6,350.21,0,0,Jessica Anderson
96,CASH_OUT,705.03,C0001662,17259.68,17224.43,M0000418,64.58,755.51,0,0,Barbara Brown
97,TRANSFER,5610.85,C0001330,5830.47,5549.93,M0000609,7971.93,13470.56,0,0,Thomas Martinez
98,PAYMENT,684.82,C0000955,660.35,0.0,M0001450,996.38,1667.5,0,0,Richard Wilson
99,CASH_OUT,337.02,C0000344,163.85,147.0,M0000225,18381.99,18712.27,0,0,Mary Anderson
100,DEBIT,4287.3,C0000962,13571.08,13356.71,M0001494,197.73,4399.28,0,0,Elizabeth Jones
101,TRANSFER,269.67,C0000206,27628.13,27614.65,M0000959,1586.61,1850.89,0,0,Karen Jackson
102,DEBIT,60848.17,C0000693,619.08,0.0,M0001389,697.35,60328.56,0,0,Charles Johnson
103,CASH_OUT,299.97,C0001290,217.06,202.06,M0000742,25050.69,25344.66,0,0,Elizabeth Brown
104,DEBIT,88.48,C0000788,4035.25,4030.83,M0001371,7399.87,7486.58,0,0,Patricia Johnson
105,PAYMENT,236.02,C0001270,854.75,618.73,M0001197,229874.47,230105.77,0,0,Joseph Jones
106,PAYMENT,21.31,C0000742,1924.62,1903.31,M0000213,238.97,259.85,0,0,Charles Johnson
107,TRANSFER,599.49,C0000589,800.24,770.27,M0001641,645.79,1233.29,0,0,Charles Anderson
108,DEBIT,3506.94,C0000777,2486.69,2311.34,M0000835,682.09,4118.89,0,0,Susan Anderson
109,DEBIT,34008.15,C0001546,49.96,0.0,M0001026,2590.8,35918.79,0,0,Linda Taylor
110,PAYMENT,4763.37,C0001656,23170.35,18406.98,M0001124,59427.95,64096.05,0,0,James Taylor
111,CASH_OUT,131.82,C0000993,10872.24,10865.65,M0001345,780.43,909.61,0,0,James Jackson
112,CASH_OUT,134.15,C0000364,1536.66,1529.95,M0000939,984.62,1116.09,0,0,Richard Gonzalez
113,TRANSFER,1017.28,C0000741,767.7,716.84,M0000110,75602.57,76599.5,0,0,John Rodriguez
114,TRANSFER,1177.98,C0000855,14382.44,14323.54,M0000747,1103.98,2258.4,0,0,Susan Thomas
115,CASH_OUT,536.98,C0001131,33306.33,33279.48,M0000340,2824.2,3350.44,0,0,Richard Anderson
116,PAYMENT,60330.6,C0000413,2099.41,0.0,M0001009,734.94,59858.93,0,0,Joseph Hernandez
117,DEBIT,567.4,C0001021,244.39,216.02,M0001107,244.04,800.09,0,0,Robert Miller
118,DEBIT,478.19,C0000048,1553.24,1529.33,M0001336,38.78,507.41,0,0,Jessica Martinez
119,CASH_OUT,1420.34,C0000383,400.55,329.53,M0000583,893.44,2285.37,0,0,Jessica Rodriguez
120,DEBIT,499.92,C0001376,447.08,422.08,M0000481,4712.97,5202.89,0,0,Michael Rodriguez
121,DEBIT,1908.93,C0000896,2697.84,2602.39,M0000121,3120.36,4991.11,0,0,Charles Hernandez
122,CASH_OUT,2057.94,C0000484,12729.86,12626.96,M0000363,4748.4,6765.18,0,0,Joseph Rodriguez
123,TRANSFER,7070.05,C0001466,17155.26,16801.76,M0001174,4225.36,11154.01,0,0,Patricia Smith
124,TRANSFER,375.14,C0001177,4132.55,4113.79,M0001439,3190.78,3558.42,0,0,Linda Wilson
125,DEBIT,26227.18,C0000326,14476.49,13165.13,M0000113,6201.67,31904.31,0,0,Robert Miller
126,TRANSFER,983.62,C0001619,14953.8,14904.62,M0000783,299.39,1263.34,0,0,Elizabeth Martinez
127,PAYMENT,850.19,C0000651,890.99,40.8,M0001402,416.01,1249.2,0,0,David Martinez
128,TRANSFER,123.66,C0001217,7307.82,7301.64,M0001123,836.35,957.54,0,0,William Gonzalez
129,DEBIT,17058.76,C0000854,2191.04,1338.1,M0001468,9905.23,26622.81,0,0,Linda Anderson
130,TRANSFER,1030.92,C0001066,3379.36,3327.81,M0000189,3360.43,4370.73,0,0,Susan Wilson
131,TRANSFER,16041.23,C0001624,408.47,0.0,M0000562,6509.52,22229.93,0,0,Joseph Lopez
132,PAYMENT,8373.0,C0001237,1194.95,0.0,M0000577,32623.75,40829.29,0,0,Patricia Anderson
133,CASH_OUT,1887.37,C0000106,4284.16,4189.79,M0001531,1584.52,3434.14,0,0,Michael Jackson
134,DEBIT,381.93,C0000489,781.68,762.58,M0000440,279.15,653.44,0,0,Patricia Jackson
135,DEBIT,1308.26,C0001132,83.52,18.11,M0000292,5286.68,6568.77,0,0,Mary Martinez
136,TRANSFER,1452.79,C0001282,13994.07,13921.43,M0001554,575.33,1999.06,0,0,Elizabeth Jones
137,TRANSFER,906.49,C0000709,2251.47,2206.15,M0000922,2058.63,2946.99,0,0,Elizabeth Lopez
138,DEBIT,91910.41,C0001349,1239.76,0.0,M0000507,644.95,90717.15,0,0,John Martinez
139,CASH_OUT,172.06,C0000364,130.39,121.79,M0000197,250.87,419.49,0,0,Richard Gonzalez
140,PAYMENT,395.58,C0001014,328.79,0.0,M0001421,354.99,742.66,0,0,James Williams
