step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,PAYMENT,18934.0,C0001423,1496.05,0.0,M0000492,7812.96,26368.28,0,0,Mary Jackson
2,DEBIT,14588.06,C0000441,1001.25,271.85,M0000989,155.52,14451.82,0,0,Jessica Williams
3,TRANSFER,752.49,C0000941,1663.88,1626.26,M0000511,3973.88,4711.32,0,0,Michael Thomas
4,PAYMENT,10921.37,C0001567,2566.54,0.0,M0000058,459.16,11162.1,0,0,Jennifer Johnson
5,CASH_OUT,3116480.76,C0001602,863.44,0.0,M0001172,49293.67,3103444.81,0,0,Jennifer Davis
6,PAYMENT,9855.68,C0000113,211.46,0.0,M0001466,866.82,10525.39,0,0,Karen Martinez
7,DEBIT,5717.79,C0001122,10624.84,10338.95,M0000478,10.69,5614.12,0,0,Mary Moore
8,PAYMENT,6340.31,C0000191,1771.26,0.0,M0000565,1875.93,8089.43,0,0,Patricia Garcia
9,PAYMENT,2261.04,C0000494,203.32,0.0,M0001127,815.46,3031.28,0,0,Michael Martinez
10,PAYMENT,503.39,C0000232,135.33,0.0,M0000396,2736.62,3229.94,0,0,Barbara Hernandez
11,PAYMENT,9100.24,C0000626,1770.2,0.0,M0000645,3500.16,12418.4,0,0,Michael Jackson
12,TRANSFER,1555.97,C0000741,292.61,214.81,M0001551,4497.1,6021.95,0,0,John Rodriguez
13,CASH_OUT,2881.75,C0000303,19043.73,18899.64,M0001199,5834.72,8658.83,0,0,Karen Williams
14,CASH_OUT,573.5,C0001018,4184.43,4155.76,M0001651,5300.92,5862.95,0,0,Karen Martin
15,DEBIT,43.18,C0001266,1587.79,1585.63,M0000923,6954.73,6997.05,0,0,Linda Thomas
16,CASH_OUT,364.0,C0000458,5279.77,5261.57,M0000716,763.62,1120.34,0,0,Charles Moore
17,TRANSFER,54.28,C0000120,2143.56,2140.85,M0000266,20542.52,20595.71,0,0,Charles Davis
18,CASH_OUT,407.34,C0001548,241.77,221.4,M0001619,183.22,582.41,0,0,William Jones
19,CASH_OUT,11386.8,C0000249,2201.79,1632.45,M0000026,2173.02,13332.08,0,0,Thomas Miller
20,TRANSFER,128.23,C0000817,19816.64,19810.23,M0000912,59.62,185.29,0,0,Robert Davis
21,TRANSFER,532.76,C0000103,1062.27,1035.63,M0000692,497.11,1019.21,0,0,Elizabeth Williams
22,DEBIT,349.23,C0000247,4962.79,4945.33,M0000882,208.3,550.55,0,0,Patricia Brown
23,DEBIT,1301.37,C0001297,440.91,375.84,M0001408,29418.68,30694.02,0,0,Charles Gonzalez
24,TRANSFER,2390.39,C0000808,117530.76,117411.24,M0000935,3292.46,5635.04,0,0,Linda Martin
25,TRANSFER,233.13,C0001022,4902.55,4890.89,M0000661,1390.17,1618.64,0,0,Thomas Rodriguez
26,CASH_OUT,5218.95,C0001043,10498.33,10237.38,M0000804,147.68,5262.25,0,0,Susan Wilson
27,CASH_OUT,13906.41,C0000021,38428.26,37732.94,M0000009,397.35,14025.63,0,0,Mary Miller
28,PAYMENT,47102.95,C0001515,11553.03,0.0,M0001240,215.43,46376.32,0,0,Karen Martinez
29,TRANSFER,572.43,C0001489,334.72,306.1,M0000657,2423.98,2984.96,0,0,John Martin
30,PAYMENT,1854.71,C0000419,7399.87,5545.16,M0001386,44.35,1861.97,0,0,Linda Wilson
31,TRANSFER,664.56,C0000679,46573.31,46540.08,M0000950,657.4,1308.67,0,0,Joseph Brown
32,TRANSFER,35.83,C0000592,83.87,82.08,M0001515,2352.12,2387.23,0,0,Karen Garcia
33,PAYMENT,908.31,C0000881,4177.55,3269.24,M0001500,61.35,951.49,0,0,Barbara Williams
34,CASH_OUT,2357.21,C0001554,5355.52,5237.66,M0001526,283.82,2593.89,0,0,Mary Miller
35,CASH_OUT,1862.25,C0000794,42174.22,42081.11,M0001167,16002.0,17827.0,0,0,Patricia Wilson
36,PAYMENT,129.22,C0000272,113.61,0.0,M0001114,368.96,495.6,0,0,Elizabeth Jackson
37,DEBIT,1801.8,C0001240,2124.88,2034.79,M0000822,553.86,2319.62,0,0,James Rodriguez
38,PAYMENT,40874.57,C0000924,104.12,0.0,M0000178,804.96,40862.04,0,0,Jessica Hernandez
39,PAYMENT,88.05,C0001212,5528.88,5440.83,M0000992,179.38,265.67,0,0,Thomas Miller
40,CASH_OUT,33384.35,C0001084,1428.25,0.0,M0001473,17235.47,49952.13,0,0,Richard Martinez
41,TRANSFER,3154.15,C0001119,20137.86,19980.15,M0001340,665.79,3756.86,0,0,Barbara Lopez
42,PAYMENT,354.5,C0001364,6102.19,5747.69,M0000898,432.94,780.35,0,0,Jennifer Johnson
43,PAYMENT,185.47,C0000870,4831.95,4646.48,M0001381,338.16,519.92,0,0,Robert Jackson
44,CASH_OUT,334.0,C0000709,5415.56,5398.86,M0001521,1367.24,1694.56,0,0,Elizabeth Lopez
45,CASH_OUT,114.13,C0000006,2649.19,2643.48,M0001603,78.83,190.68,0,0,John Garcia
46,DEBIT,9832.74,C0001654,627.63,135.99,M0001630,400.69,10036.78,0,0,Jessica Lopez
47,TRANSFER,3553.38,C0000101,17417.48,17239.81,M0000964,223.19,3705.5,0,0,David Thomas
48,CASH_OUT,645.22,C0001324,636.41,604.15,M0001081,11469.23,12101.55,0,0,Karen Smith
49,PAYMENT,167.06,C0000790,5781.94,5614.88,M0000071,80.9,244.62,0,0,Barbara Johnson
50,CASH_OUT,94.91,C0001079,2416.33,2411.58,M0000948,394.22,487.23,0,0,Karen Anderson
51,PAYMENT,1467.5,C0001383,451.86,0.0,M0001382,44.72,1482.87,0,0,Thomas Lopez
52,TRANSFER,39.73,C0000114,39206.7,39204.71,M0000575,1022.58,1061.52,0,0,Charles Smith
53,PAYMENT,4030.68,C0000300,17676.88,13646.2,M0000570,3741.24,7691.31,0,0,Michael Martin
54,CASH_OUT,390.47,C0001356,11638.44,11618.92,M0000703,373.21,755.87,0,0,Michael Gonzalez
55,PAYMENT,6406.5,C0000756,192.53,0.0,M0001544,138.95,6417.32,0,0,Joseph Brown
56,CASH_OUT,10995.27,C0001121,2368.13,1818.37,M0001031,7608.43,18383.79,0,0,Linda Wilson
57,DEBIT,1564.92,C0001490,2883.29,2805.04,M0001012,323.51,1857.13,0,0,Charles Davis
58,TRANSFER,587.07,C0001113,20896.8,20867.45,M0000729,1202.15,1777.48,0,0,Robert Hernandez
59,DEBIT,26.71,C0001206,44898.54,44897.2,M0000683,1239.49,1265.67,0,0,Michael Taylor
60,TRANSFER,61.36,C0000453,44624.25,44621.18,M0001560,2249.05,2309.18,0,0,Jessica Gonzalez
61,TRANSFER,846.5,C0001537,15096.29,15053.96,M0000508,1786.31,2615.88,0,0,Thomas Martin
62,PAYMENT,155.48,C0001332,140.48,0.0,M0000794,45.27,197.64,0,0,Karen Miller
63,DEBIT,170.54,C0000133,1409.81,1401.28,M0001519,4851.11,5018.24,0,0,Karen Thomas
64,PAYMENT,1102.21,C0000557,5731.37,4629.16,M0001558,6599.36,7679.53,0,0,Robert Williams
65,TRANSFER,624.97,C0000047,2337.9,2306.65,M0000797,269.22,881.69,0,0,Sarah Jones
66,TRANSFER,1645.82,C0000015,666.79,584.5,M0000578,218.69,1831.59,0,0,Mary Lopez
67,TRANSFER,645.42,C0001229,2348.39,2316.12,M0001453,457.32,1089.83,0,0,Charles Rodriguez
68,DEBIT,166.97,C0001176,33251.19,33242.84,M0000810,6811.24,6974.87,0,0,David Martin
69,DEBIT,893.6,C0001404,3114.93,3070.25,M0000470,560.41,1436.14,0,0,Barbara Garcia
70,PAYMENT,1442.86,C0000288,140.57,0.0,M0000586,1938.29,3352.29,0,0,David Jackson
71,PAYMENT,30085.47,C0000067,681.72,0.0,M0000528,9216.43,38700.19,0,0,David Martinez
