step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,CASH_OUT,33.36,C0001285,15894.17,15892.5,M0000329,6737.43,6770.12,0,0,Jennifer Davis
2,DEBIT,1916.69,C0001134,7191.64,7095.81,M0000584,2203.39,4081.75,0,0,Barbara Garcia
3,DEBIT,8221.77,C0001491,500.1,89.01,M0000319,112.94,8170.27,0,0,Barbara Rodriguez
4,PAYMENT,4261.17,C0000518,96.29,0.0,M0000321,8051.89,12227.84,0,0,Linda Martinez
5,CASH_OUT,11913.4,C0000074,3570.94,2975.27,M0000513,22.47,11697.6,0,0,William Davis
6,DEBIT,124.05,C0001508,318.81,312.61,M0001054,254.14,375.71,0,0,Barbara Martinez
7,CASH_OUT,283.69,C0000028,22312.42,22298.24,M0001075,496.39,774.41,0,0,Jennifer Gonzalez
8,CASH_OUT,796.17,C0001114,11365.33,11325.52,M0001176,237.75,1018.0,0,0,Charles Johnson
9,TRANSFER,8949.87,C0000737,40847.89,40400.4,M0000652,363.19,9134.06,0,0,Jessica Brown
10,DEBIT,590.24,C0000365,13154.38,13124.87,M0001298,86.77,665.21,0,0,Charles Jones
11,DEBIT,69.3,C0001661,1517.55,1514.08,M0001630,5918.01,5985.92,0,0,Patricia Williams
12,PAYMENT,581.12,C0001314,2096.58,1515.46,M0001320,48.27,617.77,0,0,Richard Taylor
13,DEBIT,1645.96,C0001392,1297.89,1215.59,M0000290,2801.39,4414.43,0,0,Karen Hernandez
14,PAYMENT,562.68,C0001441,19.85,0.0,M0000532,2591.6,3143.03,0,0,Susan Johnson
15,PAYMENT,16.32,C0000859,1381.64,1365.32,M0000057,794.09,810.08,0,0,Robert Miller
16,TRANSFER,15996.58,C0000138,59525.57,58725.74,M0000632,100.43,15777.08,0,0,Richard Hernandez
17,DEBIT,2741.85,C0000214,703.93,566.84,M0000165,1319.9,4006.91,0,0,Mary Taylor
18,DEBIT,61.23,C0001348,463.46,460.4,M0000426,59.75,119.76,0,0,Mary Miller
19,PAYMENT,14228.77,C0001138,2021.13,0.0,M0000497,50108.48,64052.67,0,0,Charles Jones
20,DEBIT,133.73,C0000374,1308.62,1301.93,M0001158,756.88,887.94,0,0,Richard Gonzalez
21,TRANSFER,500.08,C0000799,698.54,673.54,M0000505,185.89,675.97,0,0,Charles Wilson
22,PAYMENT,2249.25,C0000602,5839.26,3590.01,M0000524,1110.99,3315.26,0,0,Thomas Miller
